Face++,20k-40k,经验3-5年 / 本科,"“空间大,大牛多,AI+安防”",Java开发工程师,北京·海淀区
阳光产险信保事业部,15k-30k,经验3-5年 / 本科,"“弹性工作,扁平管理,福利好,发展空间”",Java开发工程师,北京·海淀区
百世物流,8k-15k,经验1-3年 / 本科,“五险一金 弹性工作 办公环境好 同事nice”,Java工程师,北京·海淀区
招银网络科技,15k-20k,经验1-3年 / 本科,"“五险一金,年终奖,房贷补贴,员工体检”",Java开发工程师,北京·海淀区
商汤科技,15k-30k,经验3-5年 / 本科,"“AI独角兽,前景广阔,福利齐全,技术领先”",Java,北京·海淀区
zilliz,15k-30k,经验3-5年 / 本科,"“丰厚期权,行业高薪,前沿技术,精英团队”",Java工程师,北京·海淀区
光大云付,10k-20k,经验不限 / 本科,"“薪酬丰厚,技术培养,扁平化”",Java开发工程师,北京·海淀区
腾讯,15k-30k,经验5-10年 / 本科,“福利”,java开发工程师,北京·海淀区
达达-京东到家,20k-35k,经验5-10年 / 本科,“京东到家、O2O电商、极客文化”,Java工程师,北京·海淀区
欢聚时代（YY Inc）,10k-20k,经验3-5年 / 本科,"“一线互联网,平台大,机会多”",Java开发工程师,北京·海淀区
鸿特普惠,8k-16k,经验3-5年 / 本科,"“发展空间大,五险一金,带薪年假,年终奖”",JAVA研发工程师,北京·海淀区
阳光E购,20k-30k,经验5-10年 / 本科,"“B2B,互联网+,无需融资,发展潜力大”",Java,北京·海淀区
必要商城,15k-25k,经验3-5年 / 本科,“成就你的精彩”,Java开发工程师,北京·海淀区
大搜车,11k-20k,经验3-5年 / 本科,"“大平台,发展好”",Java研发工程师,北京·海淀区
屈臣氏,6k-10k,经验不限 / 不限,"“技术新,平台大,福利全,年终奖”",Java开发工程师,北京·海淀区
zilliz,15k-30k,经验3-5年 / 本科,"“丰厚期权,行业高薪,前沿技术,精英团队”",Java开发工程师,上海·徐家汇
鸿特普惠,9k-18k,经验3-5年 / 大专,"“双休,五险一金,年终奖,带薪年假”",java研发工程师,上海·徐家汇
京东商城,20k-35k,经验3-5年 / 本科,"“薪资福利,工作环境,成长空间,团队活力”",java开发工程师,上海·徐家汇
大搜车,10k-20k,经验3-5年 / 本科,"“大平台,发展好”",Java研发工程师,上海·徐家汇
顺网科技,10k-20k,经验3-5年 / 大专,"“上市公司,技术实力强,发展空间大,薪酬福利好”",JAVA开发工程师,上海·徐家汇
BBD,15k-25k,经验1-3年 / 本科,"“大牛团队,成长空间,福利津贴”",Java开发工程师,上海·徐家汇
阳光E购,15k-25k,经验3-5年 / 本科,"“B2B,互联网+,大平台”",Java,上海·徐家汇
美团点评,25k-45k,经验3-5年 / 本科,"“无人驾驶,技术大牛”",Java开发（无人车）,上海·徐家汇
中化能源科技有限公司,20k-40k,经验3-5年 / 大专,"“五险一金,通讯补助,年终奖金,工作午餐”",Java开发工程师,上海·徐家汇
暴风集团,18k-30k,经验1-3年 / 本科,"“免费水果,弹性时间,上市公司,地铁周边”",JAVA资深工程师,上海·徐家汇
51信用卡管家,20k-35k,经验3-5年 / 本科,"“16薪起,六险一金,弹性工作,全员mac”",资深Java工程师,上海·徐家汇
易宝支付,15k-18k,经验3-5年 / 本科,"“六险一金,弹性工作,年底奖金,晋升空间”",Java研发工程师,上海·徐家汇
INK 银客集团,10k-20k,经验3-5年 / 大专,"“七险一金,工作餐,下午茶,节日礼包”",java开发工程师,上海·徐家汇
美的集团IT,15k-25k,经验3-5年 / 本科,“超长带薪福利假期、年底多薪、年度旅游”,JAVA工程师,上海·徐家汇
ZOOM,12k-20k,经验3-5年 / 本科,"“薪水福利好,技术挑战高,发展空间大,原始股权”",高级Java工程师,上海·徐家汇
武汉佰钧成技术有限公司,18k-30k,经验5-10年 / 大专,"“五险一金,五天八小时,优厚奖金,项目外包”",Java开发工程师,深圳·观澜
博悦科创,9k-18k,经验3-5年 / 大专,“发展好 加班少 待遇好 福利好 年终奖”,Java开发工程师,深圳·观澜
恒天软件,8k-16k,经验1-3年 / 本科,“六险一金培训学习带薪年假年终奖金”,Java开发工程师,深圳·观澜
上海畅采,15k-20k,经验3-5年 / 本科,"“环境好,待遇好,老板好”",Java开发工程师,深圳·观澜
欧电云,10k-15k,经验1-3年 / 本科,“弹性工作，优秀团队”,Java,深圳·观澜
艾融股份,10k-15k,经验3-5年 / 本科,“地铁出口 饭贴 电脑补贴”,Java,深圳·观澜
泰商服,12k-20k,经验3-5年 / 本科,"“年轻团队,绩效奖金,年假旅行,补贴多”",Java,深圳·观澜
点我达,18k-36k,经验3-5年 / 不限,“阿里系投资D轮、全额公积金、年均15薪起”,Java开发（工具组）,深圳·观澜
观远数据,14k-28k,经验3-5年 / 本科,"“最前沿技术,牛逼团队,广阔空间,成长回报”",java开发工程师,深圳·观澜
紫川软件,10k-15k,经验3-5年 / 大专,“五险一金 员工旅游 员工体检”,JAVA开发工程师,深圳·观澜
帆软软件,9k以上,经验不限 / 本科,“五险一金、带薪年假、年度旅游、健康体检”,Java,深圳·观澜
东方国信,12k-24k,经验3-5年 / 本科,“饭补、房补（或选择住宿），有班车”,JAVA开发,深圳·观澜
通力互联,10k-15k,经验3-5年 / 不限,“大数据项目，工作稳定，五险一金，节日福利”,java工程师,深圳·观澜
泛微,15k-25k,经验3-5年 / 本科,"“包三餐,五险一金,绩效奖金,做五休二”",Java开发工程师,深圳·观澜
上海中软华腾软件系统有限公司,8k-15k,经验3-5年 / 本科,“公积金全额，商业保险，定期体检，年终奖”,Java开发,深圳·观澜
小年糕,15k-28k,经验1-3年 / 本科,"“扁平管理,公司氛围好”",C++研发工程师,北京·学院路
