飘HOME连锁酒店(北京灯市口店),159
北京保利大厦酒店,529
维也纳国际酒店(北京广安门店),326
北京空港世纪商务精选酒店,198
斑斓·家公寓(望京博雅店),382
北京富润酒店-菜市口店,337
喆啡酒店(北京宋家庄地铁站店),283
北京华戎城宾馆,186
速8酒店(北京南站北广场站台店),340
北京昌浩商务酒店,179
北京华威商务酒店,527
7天连锁酒店(北京刘家窑地铁站店),199
麗枫酒店(丽枫LAVANDE)(北京通州果园店),346
北京太阳花酒店,529
北京明豪戴斯酒店,415
北京客如家快捷酒店,263
北京玛雅岛酒店,722
速8酒店(北京丰台东大街地铁站店),174
北京凯嘉宾馆,145
北京福地凰城酒店,401
北京厚道酒店(东直门店),287
北京桃丝主题酒店(亚运村店),343
富驿时尚酒店(北京燕莎使馆区店),359
7天连锁酒店(北京大兴黄村清源路店),178
7天连锁酒店(北京学院路二店),221
北京圆山大酒店,325
7天连锁酒店(北京鸟巢体育场店),212
北京贯通现代酒店(前门店),168
派酒店·北京昌平鼓楼南大街地铁站店,189
99优选酒店(苏州桥店)原如徽酒店,244
北京和家宾馆连锁(阜外医院店),223
北京悦途酒店,116
北京国都大饭店,508
斯洛主题酒店(北京南站店),159
北京巴比伦宾馆,188
玉渊潭集团北京中裕世纪大酒店,365
飘HOME连锁酒店(北京国贸东店),217
7天连锁酒店(北京中关村店),232
北京工体A酒店,414
北京怡城林宾馆,184
7天连锁酒店(北京农大南路店),338
北京广西大厦,479
锦江之星(北京古城北路店),209
7天连锁酒店(北京奥林匹克公园宝盛里店),189
北京亚美国际酒店,188
7天连锁酒店(北京四惠百子湾地铁站店),201
北京华商酒店(三元桥店),338
7天连锁酒店(北京新宫地铁站店),199
7天连锁酒店(北京首都机场店),157
速8酒店(北京西三旗育新地铁站店),193
